caseid_new,marital_status,age,partner_age,education,partner_education,ethnicity,children,visits_relatives,gender,house,income,msa,rent,political,religion,work,lgbtq,success,age_diff_abs,gender_older,education_difference
41505,never married,50,52,less than high school,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"less than $5,000",metro,owned or being bought by you or someone in your household,democrat,"other non-christian, please specify:",not working - looking for work,0,0.0,2,1,3
44486,living with partner,48,47,some college,some college,"black, non-hispanic",0.0,2,female,a building with 2 or more apartments,"$100,000 to $124,999",metro,rented for cash,democrat,"other non-christian, please specify:",working - as a paid employee,0,1.0,1,1,0
46746,living with partner,74,61,bachelor's degree or higher,some college,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - retired,0,1.0,13,0,1
48225,never married,22,22,some college,bachelor's degree or higher,"white, non-hispanic",1.0,0,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,0,0,1
49731,married,73,66,less than high school,some college,"white, non-hispanic",0.0,3,male,a one-family house detached from any other house,"$20,000 to $24,999",non-metro,owned or being bought by you or someone in your household,republican,pentecostal,not working - retired,0,1.0,7,0,2
51376,living with partner,37,33,bachelor's degree or higher,some college,hispanic,0.0,10,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,0.0,4,0,1
54415,never married,41,48,less than high school,bachelor's degree or higher,"white, non-hispanic",0.0,3,female,a building with 2 or more apartments,"$25,000 to $29,999",metro,rented for cash,republican,jewish,working - as a paid employee,0,0.0,7,0,3
55365,never married,36,37,some college,high school,"black, non-hispanic",4.0,3,female,a building with 2 or more apartments,"$50,000 to $59,999",metro,rented for cash,democrat,baptist-any denomination,working - as a paid employee,1,0.0,1,0,1
56536,living with partner,53,57,bachelor's degree or higher,bachelor's degree or higher,hispanic,0.0,0,female,a one-family house detached from any other house,"$60,000 to $74,999",metro,rented for cash,democrat,none,working - as a paid employee,0,1.0,4,0,0
58295,never married,29,34,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a building with 2 or more apartments,"$40,000 to $49,999",metro,rented for cash,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,5,0,0
60743,divorced,74,58,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,6,male,a building with 2 or more apartments,"$50,000 to $59,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,0.0,16,0,0
62283,divorced,28,28,some college,some college,"white, non-hispanic",0.0,0,female,a building with 2 or more apartments,"$35,000 to $39,999",metro,rented for cash,republican,other christian,working - as a paid employee,0,0.0,0,0,0
64331,married,33,42,high school,less than high school,hispanic,1.0,3,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,9,1,1
65446,living with partner,44,41,some college,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,0.0,3,1,1
66484,separated,48,38,some college,some college,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$7,500 to $9,999",metro,rented for cash,democrat,none,not working - disabled,1,0.0,10,0,0
68546,living with partner,54,48,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,7,female,a one-family house attached to one or more houses,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,6,1,0
72515,never married,51,51,some college,some college,"white, non-hispanic",1.0,8,male,a one-family house detached from any other house,"$25,000 to $29,999",metro,owned or being bought by you or someone in your household,republican,other christian,working - self-employed,0,0.0,0,0,0
73603,divorced,60,60,high school,bachelor's degree or higher,"white, non-hispanic",0.0,6,male,a one-family house detached from any other house,"$20,000 to $24,999",metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,working - as a paid employee,0,0.0,0,0,2
79731,married,73,59,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,1,1.0,14,0,0
81286,living with partner,28,29,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,7,male,a building with 2 or more apartments,"$60,000 to $74,999",metro,rented for cash,republican,baptist-any denomination,working - as a paid employee,0,1.0,1,1,0
83431,married,43,44,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,0,female,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,1,0,0
86591,married,59,52,some college,some college,"white, non-hispanic",0.0,5,female,a one-family house detached from any other house,"$15,000 to $19,999",non-metro,owned or being bought by you or someone in your household,democrat,baptist-any denomination,working - as a paid employee,0,1.0,7,1,0
89766,living with partner,76,58,bachelor's degree or higher,some college,"white, non-hispanic",0.0,2,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - retired,0,1.0,18,0,1
97195,never married,19,19,some college,some college,"white, non-hispanic",0.0,3,male,a one-family house detached from any other house,"$60,000 to $74,999",non-metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - other,0,1.0,0,0,0
100331,married,33,33,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,0,0,0
103545,never married,54,52,bachelor's degree or higher,some college,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$150,000 to $174,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,2,1,1
104565,never married,56,50,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$15,000 to $19,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,0.0,6,0,0
106296,living with partner,29,99,bachelor's degree or higher,some college,"other, non-hispanic",0.0,10,female,a one-family house detached from any other house,"$35,000 to $39,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - other,0,0.0,70,0,1
108501,married,50,52,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$75,000 to $84,999",non-metro,owned or being bought by you or someone in your household,democrat,jewish,working - as a paid employee,0,1.0,2,1,0
110316,living with partner,31,26,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,5,0,0
113235,never married,23,26,some college,bachelor's degree or higher,"white, non-hispanic",0.0,4,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,3,0,1
114276,living with partner,27,29,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,3,female,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,2,0,0
115473,divorced,47,38,some college,some college,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$85,000 to $99,999",metro,rented for cash,democrat,"other non-christian, please specify:",working - as a paid employee,0,0.0,9,0,0
119371,married,37,27,high school,high school,"white, non-hispanic",2.0,0,female,a mobile home,"$12,500 to $14,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - other,1,1.0,10,1,0
120456,living with partner,45,58,high school,bachelor's degree or higher,hispanic,0.0,2,female,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,democrat,"other non-christian, please specify:",working - as a paid employee,0,1.0,13,0,2
121515,never married,51,53,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a building with 2 or more apartments,"$50,000 to $59,999",metro,rented for cash,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - looking for work,0,1.0,2,0,0
125346,living with partner,34,34,bachelor's degree or higher,less than high school,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$30,000 to $34,999",metro,rented for cash,republican,none,working - as a paid employee,0,0.0,0,0,3
126231,married,23,34,some college,bachelor's degree or higher,"other, non-hispanic",0.0,10,female,a one-family house detached from any other house,"$175,000 or more",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,11,0,1
128441,married,44,45,high school,bachelor's degree or higher,"black, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$150,000 to $174,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,1,1,2
134275,never married,27,24,some college,some college,"white, non-hispanic",0.0,5,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,eastern orthodox,not working - disabled,1,1.0,3,1,0
134461,married,46,50,some college,some college,"white, non-hispanic",0.0,2,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,republican,other christian,working - as a paid employee,0,1.0,4,1,0
140511,married,51,51,high school,some college,"white, non-hispanic",3.0,7,female,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,working - self-employed,0,1.0,0,0,1
144545,never married,54,33,bachelor's degree or higher,bachelor's degree or higher,"other, non-hispanic",0.0,1,male,a one-family house attached to one or more houses,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,other,none,working - as a paid employee,0,1.0,21,0,0
145611,married,61,58,some college,some college,"white, non-hispanic",1.0,10,male,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,working - self-employed,0,1.0,3,0,0
147245,never married,24,26,high school,some college,"white, non-hispanic",0.0,5,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,catholic,not working - looking for work,0,1.0,2,1,1
150411,married,41,44,bachelor's degree or higher,bachelor's degree or higher,"other, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$175,000 or more",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,0,1.0,3,1,0
151506,living with partner,50,33,bachelor's degree or higher,some college,"2+ races, non-hispanic",0.0,3,female,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,republican,none,working - self-employed,0,1.0,17,1,1
155561,married,56,61,some college,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$20,000 to $24,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - other,0,1.0,5,0,1
156486,living with partner,48,62,some college,bachelor's degree or higher,"2+ races, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - as a paid employee,1,1.0,14,0,1
157421,married,42,52,some college,some college,"white, non-hispanic",1.0,7,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,republican,catholic,not working - disabled,0,1.0,10,1,0
158261,married,26,29,some college,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,other christian,not working - other,0,1.0,3,0,1
161715,never married,71,70,high school,some college,"white, non-hispanic",0.0,5,male,a building with 2 or more apartments,"$25,000 to $29,999",metro,rented for cash,democrat,catholic,working - as a paid employee,0,0.0,1,0,1
163195,never married,19,20,high school,some college,"other, non-hispanic",0.0,3,male,a one-family house detached from any other house,"$20,000 to $24,999",metro,owned or being bought by you or someone in your household,democrat,catholic,not working - looking for work,0,1.0,1,1,1
166381,married,38,31,bachelor's degree or higher,bachelor's degree or higher,hispanic,0.0,2,male,a one-family house attached to one or more houses,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,7,0,0
167245,never married,24,59,some college,bachelor's degree or higher,"white, non-hispanic",0.0,1,female,a building with 2 or more apartments,"$5,000 to $7,499",metro,rented for cash,democrat,jewish,working - self-employed,0,0.0,35,0,1
168646,living with partner,64,51,some college,some college,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,baptist-any denomination,working - as a paid employee,0,1.0,13,1,0
171391,married,39,36,some college,bachelor's degree or higher,"white, non-hispanic",0.0,10,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,jewish,working - as a paid employee,0,1.0,3,0,1
172291,married,29,29,bachelor's degree or higher,some college,"white, non-hispanic",0.0,4,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,catholic,working - self-employed,0,1.0,0,0,1
173671,married,67,66,high school,high school,"2+ races, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$25,000 to $29,999",metro,occupied without payment of cash rent,democrat,catholic,not working - retired,0,1.0,1,0,0
177386,living with partner,38,41,bachelor's degree or higher,high school,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,0.0,3,1,2
179461,married,46,44,high school,some college,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,republican,none,working - as a paid employee,0,1.0,2,0,1
180415,never married,41,51,bachelor's degree or higher,bachelor's degree or higher,"black, non-hispanic",0.0,1,male,a building with 2 or more apartments,"$25,000 to $29,999",metro,rented for cash,democrat,baptist-any denomination,working - as a paid employee,0,0.0,10,1,0
185405,never married,40,25,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,1,male,a one-family house attached to one or more houses,"$12,500 to $14,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,15,0,0
187511,married,51,49,some college,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$150,000 to $174,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,2,0,1
189411,married,41,40,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",2.0,2,male,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,republican,catholic,working - as a paid employee,0,1.0,1,0,0
190215,never married,21,20,some college,some college,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,other christian,working - as a paid employee,0,1.0,1,1,0
191546,living with partner,54,54,high school,high school,"black, non-hispanic",0.0,3,male,a building with 2 or more apartments,"$12,500 to $14,999",metro,rented for cash,democrat,catholic,not working - disabled,0,1.0,0,0,0
192341,married,34,33,high school,high school,"white, non-hispanic",3.0,6,male,a one-family house detached from any other house,"$35,000 to $39,999",non-metro,owned or being bought by you or someone in your household,republican,none,working - as a paid employee,0,1.0,1,0,0
194441,married,44,51,high school,high school,"white, non-hispanic",0.0,1,female,a one-family house detached from any other house,"$40,000 to $49,999",non-metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,1.0,7,0,0
199261,married,26,27,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$15,000 to $19,999",metro,rented for cash,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,1,0,0
202631,married,63,75,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house attached to one or more houses,"$85,000 to $99,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,12,1,0
203562,widowed,56,54,some college,bachelor's degree or higher,"white, non-hispanic",0.0,12,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - disabled,0,0.0,2,0,1
204561,married,56,58,high school,some college,"white, non-hispanic",0.0,5,female,a one-family house detached from any other house,"$75,000 to $84,999",non-metro,owned or being bought by you or someone in your household,democrat,catholic,working - self-employed,0,1.0,2,0,1
205421,married,42,37,high school,high school,"white, non-hispanic",2.0,2,male,a building with 2 or more apartments,"$60,000 to $74,999",metro,rented for cash,republican,other christian,working - as a paid employee,0,1.0,5,0,0
209345,never married,34,29,high school,high school,"white, non-hispanic",0.0,4,male,a one-family house detached from any other house,"$100,000 to $124,999",metro,rented for cash,democrat,none,not working - disabled,0,0.0,5,0,0
211571,married,57,62,high school,bachelor's degree or higher,hispanic,0.0,0,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,democrat,baptist-any denomination,working - as a paid employee,0,1.0,5,0,2
212505,never married,50,53,less than high school,some college,"black, non-hispanic",3.0,1,female,a one-family house detached from any other house,"$15,000 to $19,999",non-metro,rented for cash,democrat,other christian,not working - disabled,0,0.0,3,0,2
214591,married,59,64,high school,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a mobile home,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,none,not working - disabled,0,1.0,5,1,2
217365,never married,36,31,some college,high school,"white, non-hispanic",2.0,10,female,a building with 2 or more apartments,"$12,500 to $14,999",metro,rented for cash,democrat,pentecostal,not working - disabled,0,0.0,5,1,1
218426,living with partner,42,43,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,0.0,1,0,0
220411,married,41,36,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,1,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,1.0,5,0,0
221225,never married,22,20,some college,some college,"white, non-hispanic",3.0,3,male,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - other,0,1.0,2,0,0
222281,married,28,28,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house attached to one or more houses,"$75,000 to $84,999",metro,rented for cash,republican,baptist-any denomination,working - as a paid employee,0,1.0,0,0,0
224425,never married,42,39,high school,high school,"white, non-hispanic",2.0,4,male,a one-family house detached from any other house,"$20,000 to $24,999",metro,rented for cash,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - self-employed,0,1.0,3,0,0
225411,married,41,43,some college,bachelor's degree or higher,"white, non-hispanic",2.0,10,male,a one-family house detached from any other house,"$150,000 to $174,999",metro,owned or being bought by you or someone in your household,republican,none,not working - other,0,1.0,2,1,1
225516,living with partner,51,74,some college,bachelor's degree or higher,"white, non-hispanic",0.0,1,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,"other non-christian, please specify:",working - self-employed,1,1.0,23,0,1
226381,married,38,42,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house attached to one or more houses,"$175,000 or more",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,4,0,0
236195,never married,19,18,less than high school,less than high school,"white, non-hispanic",1.0,5,male,a one-family house detached from any other house,"$12,500 to $14,999",metro,owned or being bought by you or someone in your household,democrat,catholic,not working - looking for work,0,0.0,1,0,0
239561,married,56,56,bachelor's degree or higher,some college,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$85,000 to $99,999",non-metro,owned or being bought by you or someone in your household,republican,"other non-christian, please specify:",working - as a paid employee,0,1.0,0,0,1
244431,married,43,40,high school,some college,"white, non-hispanic",0.0,15,male,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - self-employed,0,1.0,3,0,1
249441,married,44,42,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",2.0,0,male,a one-family house detached from any other house,"$150,000 to $174,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,2,0,0
250546,living with partner,54,47,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",2.0,0,female,a one-family house detached from any other house,"$100,000 to $124,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,1,1.0,7,1,0
253483,divorced,48,57,bachelor's degree or higher,bachelor's degree or higher,hispanic,0.0,0,female,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,0.0,9,0,0
254236,living with partner,23,23,some college,some college,"2+ races, non-hispanic",0.0,8,female,a one-family house detached from any other house,"$85,000 to $99,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,0,0,0
256696,living with partner,69,61,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a one-family house detached from any other house,"$125,000 to $149,999",metro,owned or being bought by you or someone in your household,republican,mormon,not working - retired,1,1.0,8,0,0
262566,living with partner,56,59,some college,some college,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,democrat,jewish,not working - disabled,0,1.0,3,1,0
267361,married,36,35,bachelor's degree or higher,high school,hispanic,3.0,0,male,a one-family house detached from any other house,"$25,000 to $29,999",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,1,0,2
270225,never married,22,24,some college,bachelor's degree or higher,"black, non-hispanic",0.0,5,female,a one-family house detached from any other house,"$12,500 to $14,999",metro,rented for cash,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,1.0,2,0,1
271623,divorced,62,72,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,6,female,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,1.0,10,0,0
272616,living with partner,61,55,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,female,a one-family house detached from any other house,"$150,000 to $174,999",metro,owned or being bought by you or someone in your household,democrat,none,not working - retired,0,1.0,6,1,0
273431,married,43,43,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",1.0,10,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,none,working - self-employed,1,1.0,0,0,0
278413,divorced,41,42,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,3,female,a one-family house detached from any other house,"$40,000 to $49,999",metro,owned or being bought by you or someone in your household,democrat,none,working - as a paid employee,0,0.0,1,0,0
282691,married,69,67,bachelor's degree or higher,high school,"white, non-hispanic",0.0,3,male,a mobile home,"$20,000 to $24,999",non-metro,owned or being bought by you or someone in your household,republican,baptist-any denomination,not working - retired,0,1.0,2,0,2
283386,living with partner,38,45,bachelor's degree or higher,some college,"white, non-hispanic",0.0,3,female,a one-family house detached from any other house,"$75,000 to $84,999",metro,owned or being bought by you or someone in your household,democrat,other christian,working - as a paid employee,0,1.0,7,0,1
284426,living with partner,42,31,high school,some college,"white, non-hispanic",1.0,4,female,a one-family house detached from any other house,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",working - as a paid employee,0,0.0,11,1,1
286556,living with partner,55,49,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,0,male,a building with 2 or more apartments,"$50,000 to $59,999",metro,owned or being bought by you or someone in your household,democrat,none,working - self-employed,0,1.0,6,0,0
288666,living with partner,66,59,some college,high school,"white, non-hispanic",0.0,2,male,a one-family house detached from any other house,"$60,000 to $74,999",metro,owned or being bought by you or someone in your household,democrat,catholic,not working - retired,0,1.0,7,0,1
296851,married,85,72,bachelor's degree or higher,bachelor's degree or higher,"white, non-hispanic",0.0,4,male,a one-family house detached from any other house,"$175,000 or more",metro,owned or being bought by you or someone in your household,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",not working - retired,0,1.0,13,0,0
